Date,Open,High,Low,Close,Adj Close,Volume
01/06/2013,433.679321,452.477081,420.87262,437.340515,437.340515,97791000
01/07/2013,440.36087,461.001617,434.975891,441.006683,441.006683,103155300
01/08/2013,444.608246,451.91571,420.048004,420.713654,420.713654,67407600
01/09/2013,424.419556,450.067749,424.215881,435.124939,435.124939,66675300
01/10/2013,437.280914,517.394836,418.766327,511.960205,511.960205,111165100
01/11/2013,512.561279,530.549316,499.252838,526.37146,526.37146,52852500
01/12/2013,528.318787,556.878052,521.120605,556.734009,556.734009,68124700
01/01/2014,554.125916,589.436279,537.638184,586.669312,586.669312,109730500
01/02/2014,585.789978,610.469482,560.365356,603.897217,603.897217,81618000
01/03/2014,599.476013,609.530579,549.896362,555.445007,555.445007,71857600
01/04/2014,555.654724,601.522522,500.050446,523.779968,523.779968,67539600
01/05/2014,524.227539,564.734802,500.547729,556.828247,556.828247,36727500
01/06/2014,557.63385,579.264893,535.803833,572.134094,572.134094,38105800
01/07/2014,575.157471,596.37085,561.920288,568.474243,568.474243,34704900
01/08/2014,567.280762,584.128174,556.937683,568.474243,568.474243,27734000
01/09/2014,568.722839,593.21814,565.102783,574.202698,574.202698,33608300
01/10/2014,572.860107,577.822815,505.321472,556.022705,556.022705,52305400
01/11/2014,552.46228,554.849121,527.181274,538.867004,538.867004,28598100
01/12/2014,535.953064,538.449341,486.325928,523.521423,523.521423,45989600
01/01/2015,526.114746,539.202759,484.891632,531.594604,531.594604,50208900
01/02/2015,528.819885,561.619385,515.712036,555.343933,555.343933,32578800
01/03/2015,557.46228,574.747131,541.241516,545.000854,545.000854,38446900
01/04/2015,545.597534,568.01416,518.158569,537.340027,537.340027,42364400
01/05/2015,538.429993,544.190002,521.085022,532.109985,532.109985,31848600
01/06/2015,536.789978,543.73999,520.5,520.51001,520.51001,34334600
01/07/2015,524.72998,678.640015,515.179993,625.609985,625.609985,63319000
01/08/2015,625.340027,674.900024,565.049988,637.609985,637.609985,61388900
01/09/2015,602.359985,650.900024,589.380005,608.419983,608.419983,47889100
01/10/2015,608.369995,730,599.849976,710.809998,710.809998,49428500
01/11/2015,711.059998,762.708008,705.849976,742.599976,742.599976,33932700
01/12/2015,747.109985,779.97998,724.169983,758.880005,758.880005,43096800
01/01/2016,743,752,673.26001,742.950012,742.950012,46552500
01/02/2016,750.460022,789.869995,663.059998,697.77002,697.77002,64329300
01/03/2016,703.619995,757.880005,685.340027,744.950012,744.950012,41735400
01/04/2016,738.599976,769.900024,689,693.01001,693.01001,42140100
01/05/2016,697.630005,739.72998,689.01001,735.719971,735.719971,34941900
01/06/2016,734.530029,737.210022,663.283997,692.099976,692.099976,39358300
01/07/2016,692.200012,778.549988,688.215027,768.789978,768.789978,29898300
01/08/2016,761.090027,789.75,761.090027,767.049988,767.049988,26373900
01/09/2016,769.25,789.849976,754,777.289978,777.289978,27540000
01/10/2016,774.25,816.679993,769.5,784.539978,784.539978,33881500
01/11/2016,782.890015,795.632996,727.539978,758.039978,758.039978,42595000
01/12/2016,757.440002,804.380005,737.025024,771.820007,771.820007,32079700
01/01/2017,778.809998,841.950012,775.799988,796.789978,796.789978,33191600
01/02/2017,799.679993,833.450012,791.190002,823.210022,823.210022,25682500
01/03/2017,828.849976,853.5,803.369995,829.559998,829.559998,33835100
01/04/2017,829.219971,916.849976,817.02002,905.960022,905.960022,25161900
01/05/2017,901.940002,979.27002,901.450012,964.859985,964.859985,32180100
01/06/2017,968.950012,988.25,908.309998,908.72998,908.72998,43577200
01/07/2017,912.179993,986.200012,894.789978,930.5,930.5,36679200
01/08/2017,932.380005,941.97998,903.400024,939.330017,939.330017,27958000
01/09/2017,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
01/10/2017,959.97998,1048.390015,947.840027,1016.640015,1016.640015,31779700
01/11/2017,1017.210022,1062.375,1013.01001,1021.409973,1021.409973,24265500
01/12/2017,1015.799988,1078.48999,988.280029,1046.400024,1046.400024,28163700
01/01/2018,1048.339966,1186.890015,1045.22998,1169.939941,1169.939941,28734500
01/02/2018,1162.609985,1174,992.559998,1104.72998,1104.72998,42384100
01/03/2018,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
01/04/2018,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
01/05/2018,1013.659973,1110.75,1006.289978,1084.98999,1084.98999,31800500
01/06/2018,1099.349976,1186.286011,1096.01001,1115.650024,1115.650024,32076800
01/07/2018,1099,1273.890015,1093.800049,1217.26001,1217.26001,31940100
01/08/2018,1228,1256.5,1188.23999,1218.189941,1218.189941,28762400
01/09/2018,1204.27002,1212.98999,1152,1164.640015,1164.640015,8297500
